timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.446,1.477,-0.844,-0.388,-0.042,0.896,-0.436,0.299,-0.164,0.418,0.199,1.017,-0.098,-0.037,0.602,0.391,0.285,-0.171,-0.157,0.414,-0.015,0.237,-0.081,-0.039,0.254,-0.155,0.144,-0.019,0.122,0.174,0.388,-0.19,0.105,0.088,-0.009,-0.026,0.421,0.026,0.0,-0.011,-0.004,-0.106,0.269,0.328,0.113,-0.001,-0.084,-0.148,0.174,0.091,-0.149,0.148,-0.082,0.141,-0.138,-0.232,-0.002,-0.11,0.047,-0.08,0.1,-0.077,0.145,0.002,-0.171,-0.114,-0.063,0.002,0.026,0.027
50,1.567,1.671,-0.868,-0.198,-0.365,1.239,-0.28,0.158,0.053,0.473,0.351,0.605,0.169,-0.059,0.567,0.151,0.078,-0.062,0.138,0.119,-0.07,0.171,-0.012,-0.178,0.14,0.036,-0.062,0.215,0.185,-0.012,0.324,-0.1,0.137,0.278,-0.116,0.039,0.161,-0.413,0.038,0.101,0.09,-0.056,0.286,0.257,0.139,-0.02,-0.203,-0.09,0.004,0.164,-0.19,0.321,0.051,0.157,0.001,-0.113,-0.016,-0.12,0.003,-0.216,0.087,-0.12,0.039,0.005,-0.071,-0.112,-0.139,0.012,0.068,0.107
100,1.567,2.019,-1.005,-0.272,-0.112,1.13,-0.596,0.622,-0.053,0.355,0.259,0.545,0.225,-0.619,0.857,0.015,-0.038,-0.045,-0.152,0.146,-0.103,0.126,0.059,-0.064,0.53,-0.254,0.254,0.127,0.267,-0.014,0.313,-0.515,-0.146,-0.294,0.21,-0.033,-0.195,0.024,-0.065,0.173,0.325,-0.121,0.109,0.303,-0.033,-0.134,-0.28,-0.373,0.096,-0.078,-0.344,0.015,-0.187,-0.245,0.035,0.047,0.094,-0.209,-0.131,0.081,0.056,-0.081,0.006,-0.24,-0.152,0.053,-0.232,-0.021,-0.105,0.133
150,1.948,1.602,-0.999,-0.289,-0.224,1.403,-0.253,0.256,-0.046,0.582,0.345,1.1,0.168,-0.055,0.707,0.171,0.209,-0.169,0.0,0.177,-0.047,0.096,-0.092,-0.163,0.3,-0.199,-0.069,0.168,0.297,0.084,0.3,-0.075,0.304,0.087,-0.088,0.099,0.3,0.01,0.023,0.076,0.087,-0.18,0.356,0.316,-0.081,-0.021,-0.056,0.064,0.096,0.257,-0.163,0.199,0.037,0.25,-0.208,-0.272,0.051,-0.156,0.118,-0.238,0.066,-0.18,0.178,0.028,-0.146,-0.059,-0.145,-0.04,0.165,0.097
200,1.428,1.721,-0.784,-0.127,-0.186,0.947,-0.474,0.41,-0.056,0.338,0.18,0.487,0.006,-0.26,0.537,0.219,0.134,0.008,0.041,0.103,-0.007,0.222,0.048,-0.079,0.093,0.021,0.083,0.135,0.179,-0.019,0.227,-0.162,0.006,0.134,0.014,0.013,0.1,-0.133,-0.018,0.227,0.239,-0.017,0.178,0.298,0.037,-0.047,-0.123,-0.046,-0.0,-0.022,-0.142,0.134,-0.042,0.035,-0.171,-0.072,-0.043,-0.101,0.048,-0.116,0.1,-0.053,0.107,-0.0,-0.093,-0.059,-0.195,-0.021,0.072,0.127
250,1.19,1.25,-0.957,-0.049,-0.121,0.958,-0.396,0.332,-0.006,0.277,0.183,0.421,0.174,-0.345,0.552,0.108,0.05,-0.075,0.079,-0.002,0.127,0.19,0.096,0.0,0.137,-0.06,0.024,0.141,0.237,0.024,0.093,-0.143,0.196,0.024,0.04,-0.058,0.137,0.081,0.068,0.048,0.323,0.022,0.242,0.217,-0.177,-0.103,0.077,-0.078,0.165,0.178,-0.118,0.108,0.03,0.059,-0.24,-0.14,0.046,-0.104,0.075,-0.269,0.17,-0.098,0.143,-0.041,-0.312,-0.104,-0.088,-0.025,0.017,0.101
300,1.57,1.595,-1.015,-0.309,-0.213,1.198,-0.248,0.24,-0.043,0.487,0.309,0.792,0.151,0.054,0.579,0.101,0.135,-0.048,0.032,0.207,-0.003,0.092,-0.113,-0.197,0.2,-0.116,-0.07,0.194,0.234,0.009,0.394,-0.103,0.191,0.201,-0.112,0.062,0.155,-0.214,0.021,0.016,-0.022,-0.174,0.307,0.169,0.016,0.066,-0.218,0.045,0.07,0.105,-0.111,0.188,0.029,0.178,0.036,-0.125,0.026,-0.105,-0.011,-0.051,-0.063,-0.081,0.068,-0.044,0.027,-0.03,-0.164,-0.01,0.1,0.116
350,1.914,1.563,-1.24,-0.298,0.003,1.265,0.134,0.356,-0.224,0.556,0.434,0.804,0.157,0.071,0.42,-0.117,0.057,-0.122,0.046,0.126,-0.015,-0.199,-0.069,-0.178,0.294,-0.242,-0.225,0.045,0.384,-0.037,0.488,0.315,0.281,0.073,-0.293,0.18,0.112,-0.244,0.092,-0.038,-0.102,-0.208,0.379,0.185,0.048,0.083,-0.263,0.366,-0.103,0.214,-0.059,0.381,0.159,0.316,0.063,-0.261,-0.03,-0.09,0.159,-0.217,-0.1,-0.157,-0.027,0.035,0.136,0.026,-0.073,-0.029,0.204,0.126
400,1.481,1.562,-0.847,-0.43,0.088,1.129,-0.16,0.467,-0.277,0.793,0.226,1.194,0.066,0.205,0.694,0.397,0.171,-0.278,-0.12,0.47,-0.08,-0.104,-0.459,-0.098,0.616,-0.447,-0.153,-0.193,0.34,0.083,0.666,-0.042,-0.085,-0.107,-0.098,0.162,0.252,0.053,-0.091,-0.257,-0.324,-0.552,0.263,0.137,0.114,0.001,-0.392,0.262,0.089,-0.027,-0.054,0.097,-0.005,0.24,0.11,-0.123,-0.041,-0.027,0.056,-0.005,-0.14,-0.12,0.058,-0.006,0.032,-0.076,0.005,0.041,0.063,0.063
450,1.892,1.696,-0.696,-0.596,-0.036,1.347,-0.065,0.363,-0.262,0.778,0.269,1.475,0.2,0.157,0.862,0.462,0.355,-0.264,0.001,0.511,-0.05,0.136,-0.33,-0.097,0.46,-0.345,0.031,-0.097,0.289,0.164,0.559,-0.165,0.075,0.005,-0.073,0.132,0.321,0.123,-0.016,0.028,-0.14,-0.283,0.272,0.333,0.01,-0.003,-0.346,0.098,0.153,0.02,0.015,0.059,-0.018,0.203,-0.096,-0.256,-0.016,-0.085,0.077,-0.026,-0.01,-0.123,0.062,0.007,0.016,-0.082,-0.003,0.002,0.033,0.021
